時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
083833,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
083847,3.071NM,3.065NM,2.991NM,3.073NM,3.086NM,3.222NM,3.194NM,3.102NM,3.123NM,3.172NM,
083908,3.065NM,3.125NM,2.953NM,3.125NM,3.125NM,3.188NM,3.222NM,3.077NM,3.151NM,3.218NM,
085425,3.088NM,3.119NM,2.995NM,3.052NM,3.115NM,3.236NM,0NM,3.05NM,3.085NM,3.167NM,
085438,3.092NM,3.127NM,2.962NM,3.088NM,3.077NM,3.205NM,3.157NM,3.067NM,3.096NM,3.142NM,
085515,3.1NM,3.129NM,2.983NM,3.077NM,3.098NM,3.171NM,3.167NM,3.071NM,3.081NM,3.197NM,
085552,3.094NM,3.123NM,2.979NM,3.081NM,3.102NM,3.239NM,3.155NM,3.06NM,3.035NM,3.18NM,
085626,3.109NM,3.146NM,2.981NM,3.098NM,3.106NM,3.151NM,3.178NM,3.117NM,3.121NM,3.184NM,
085649,3.094NM,3.109NM,2.995NM,3.098NM,3.104NM,3.172NM,3.184NM,3.129NM,3.043NM,3.155NM,
085711,3.102NM,3.142NM,2.99NM,3.069NM,3.104NM,3.216NM,3.14NM,3.106NM,3.085NM,3.195NM,
085734,3.09NM,3.104NM,2.958NM,3.117NM,3.094NM,3.171NM,3.188NM,3.106NM,3.035NM,3.163NM,
085759,0.001NM,3.107NM,2.95NM,3.031NM,3.073NM,3.182NM,3.155NM,3.075NM,3.039NM,3.136NM,
085821,3.115NM,3.102NM,3.021NM,3.069NM,3.064NM,3.171NM,3.18NM,3.121NM,3.119NM,3.195NM,
085841,3.1NM,3.075NM,3.002NM,3.109NM,3.081NM,3.216NM,3.178NM,3.083NM,3.146NM,3.224NM,
085901,3.062NM,3.148NM,2.967NM,3.085NM,3.083NM,3.203NM,3.213NM,3.104NM,3.079NM,3.194NM,
085929,3.104NM,3.14NM,2.95NM,3.081NM,3.075NM,3.192NM,3.19NM,3.129NM,3.115NM,3.192NM,
085953,3.134NM,3.117NM,2.988NM,3.081NM,3.075NM,3.23NM,3.163NM,3.115NM,3NM,3.236NM,
090021,3.117NM,3.159NM,3.003NM,3.096NM,3.069NM,3.199NM,3.148NM,0NM,3.043NM,3.148NM,
090156,3.109NM,3.1NM,2.943NM,3.111NM,3.104NM,3.213NM,3.138NM,3.1NM,3.157NM,3.207NM,
090218,3.107NM,3.117NM,2.974NM,3.073NM,3.1NM,3.186NM,3.222NM,3.119NM,3.14NM,3.205NM,
091119,3.1NM,3.138NM,2.972NM,3.142NM,3.077NM,0NM,3.209NM,3.102NM,3.018NM,3.146NM,
091138,3.086NM,3.085NM,3.007NM,3.069NM,3.085NM,3.192NM,3.209NM,3.088NM,3.102NM,3.169NM,
091159,3.098NM,3.107NM,3.003NM,3.064NM,3.081NM,3.224NM,3.14NM,3.086NM,3.117NM,3.18NM,
091929,3.05NM,3.138NM,2.974NM,3.065NM,3.092NM,3.165NM,0NM,0NM,3.129NM,3.163NM,
092307,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
092321,3.069NM,3.123NM,3.003NM,3.058NM,3.096NM,0NM,3.176NM,3.104NM,3.125NM,3.125NM,
092917,3.054NM,3.125NM,2.953NM,3.075NM,3.062NM,0NM,3.188NM,3.06NM,3.132NM,3.222NM,
092940,3.127NM,3.102NM,2.969NM,3.113NM,3.065NM,3.213NM,3.226NM,3.062NM,3.148NM,3.192NM,
093023,3.077NM,3.14NM,2.998NM,3.092NM,3.067NM,3.192NM,3.169NM,0NM,3.104NM,3.218NM,
093042,3.081NM,3.098NM,2.981NM,3.117NM,3.104NM,3.184NM,3.153NM,3.079NM,3.117NM,3.18NM,
093110,3.127NM,0NM,2.963NM,3.1NM,3.06NM,3.13NM,3.268NM,3.109NM,3.06NM,3.209NM,
093303,3.092NM,3.106NM,2.96NM,3.123NM,3.107NM,3.26NM,3.192NM,0NM,0NM,0NM,
093322,3.064NM,3.153NM,2.979NM,0NM,3.096NM,3.241NM,3.186NM,3.115NM,3.002NM,3.197NM,
093348,3.102NM,3.113NM,2.929NM,3.077NM,3.109NM,3.293NM,3.18NM,3.113NM,3.098NM,3.188NM,
093416,3.073NM,3.077NM,3.033NM,3.062NM,3.075NM,3.163NM,3.201NM,3.094NM,3.146NM,0NM,
093729,3.125NM,3.151NM,2.99NM,0NM,3.054NM,3.211NM,3.161NM,3.1NM,3.102NM,3.159NM,
093801,3.123NM,3.15NM,2.996NM,3.117NM,3.111NM,3.236NM,3.209NM,3.056NM,3.113NM,3.211NM,
093830,3.123NM,3.13NM,2.967NM,3.094NM,3.088NM,3.218NM,3.188NM,3.111NM,3.023NM,3.249NM,
093859,3.123NM,3.138NM,3.002NM,3.117NM,3.107NM,3.205NM,3.172NM,3.117NM,3.064NM,3.117NM,
093944,3.079NM,3.129NM,2.976NM,3.085NM,3.127NM,3.188NM,3.207NM,0NM,3.088NM,3.243NM,
