時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
085801,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
085958,3.098NM,3.129NM,3.064NM,3.092NM,3.06NM,3.15NM,3.234NM,3.077NM,3.167NM,3.224NM,
090027,3.109NM,3.144NM,3.04NM,3.033NM,3.134NM,3.245NM,3.18NM,3.111NM,3.079NM,3.197NM,
090108,0NM,3.14NM,2.93NM,3.083NM,3.081NM,3.159NM,3.186NM,3.115NM,3.151NM,3.253NM,
090135,3.092NM,3.157NM,2.932NM,3.081NM,3.088NM,3.27NM,3.201NM,3.071NM,3.104NM,3.222NM,
090209,3.075NM,3.138NM,2.976NM,3.085NM,3.161NM,3.186NM,3.199NM,3.081NM,3.104NM,3.213NM,
090236,3.153NM,3.165NM,2.96NM,3.083NM,3.104NM,3.197NM,3.207NM,3.115NM,3.167NM,3.278NM,
090300,3.098NM,3.132NM,3.037NM,3.041NM,3.113NM,3.205NM,3.165NM,3.129NM,3.174NM,3.226NM,
090332,0NM,3.155NM,3.002NM,3.119NM,3.14NM,3.224NM,3.19NM,3.083NM,3.138NM,3.15NM,
171400,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,3.186NM,3.264NM,
172824,3.048NM,3.018NM,2.969NM,3.044NM,3.111NM,3.125NM,3.188NM,3.172NM,3.186NM,3.264NM,
172852,3.031NM,3.02NM,2.96NM,3.073NM,3.075NM,3.157NM,3.19NM,3.129NM,3.186NM,3.264NM,
172914,2.997NM,3.029NM,2.939NM,3.014NM,3.021NM,3.109NM,3.222NM,3.127NM,3.186NM,3.264NM,
172947,3.033NM,3.02NM,2.981NM,3.018NM,3.018NM,3.151NM,3.138NM,3.161NM,3.186NM,3.264NM,
173005,0.002NM,3.021NM,2.857NM,3.046NM,3.006NM,3.113NM,3.174NM,3.1NM,3.186NM,3.264NM,
173229,3.052NM,3.006NM,2.889NM,3.006NM,3.073NM,3.094NM,3.213NM,3.117NM,3.186NM,3.264NM,
173249,3.016NM,3.043NM,2.962NM,2.974NM,3.012NM,3.142NM,3.222NM,3.113NM,3.186NM,3.264NM,
173309,3.052NM,3.02NM,2.894NM,3.081NM,2.983NM,3.167NM,3.153NM,3.136NM,3.186NM,3.264NM,
173327,0.002NM,3.031NM,2.937NM,3.081NM,3.056NM,3.132NM,3.19NM,3.13NM,3.186NM,3.264NM,
173513,3.037NM,3.033NM,2.887NM,2.974NM,3.05NM,3.069NM,3.155NM,3.073NM,3.186NM,3.264NM,
173535,3.002NM,3.09NM,2.899NM,3.044NM,2.997NM,3.134NM,3.107NM,3.125NM,3.186NM,3.264NM,
173557,2.981NM,3.025NM,2.89NM,2.978NM,3NM,3.186NM,3.146NM,3.107NM,3.186NM,3.264NM,
173616,3.065NM,3.02NM,2.925NM,3.033NM,3.085NM,3.085NM,3.134NM,3.092NM,3.186NM,3.264NM,
173636,3.056NM,3.004NM,2.87NM,3.027NM,3.056NM,3.09NM,3.13NM,3.138NM,3.186NM,3.264NM,
173706,3.052NM,3.039NM,2.927NM,3.067NM,3.05NM,3.155NM,3.13NM,3.121NM,3.186NM,3.264NM,
173725,2.987NM,2.981NM,2.876NM,2.981NM,3NM,3.165NM,3.106NM,3.136NM,3.186NM,3.264NM,
173744,3.021NM,3.006NM,2.883NM,2.995NM,3.031NM,3.18NM,3.111NM,3.134NM,3.186NM,3.264NM,
174121,2.999NM,3NM,2.876NM,2.968NM,3.035NM,3.115NM,3.077NM,3.111NM,3.186NM,3.264NM,
174141,3.086NM,3.014NM,2.93NM,3.02NM,3.062NM,3.106NM,3.079NM,3.125NM,3.186NM,3.264NM,
174200,3.016NM,3.014NM,2.92NM,3.081NM,3.071NM,3.19NM,3.161NM,3.142NM,3.186NM,3.264NM,
174218,3.094NM,3.01NM,2.89NM,3.027NM,2.983NM,3.15NM,3.155NM,3.117NM,3.186NM,3.264NM,
174245,3.056NM,3.029NM,2.892NM,3.006NM,3.01NM,3.18NM,3.113NM,3.096NM,3.186NM,3.264NM,
174303,3.029NM,2.991NM,2.916NM,3.004NM,3.079NM,3.107NM,3.163NM,3.119NM,3.186NM,3.264NM,
174322,3.033NM,3.018NM,2.925NM,3.021NM,3.021NM,3.178NM,3.165NM,3.155NM,3.186NM,3.264NM,
174349,3.13NM,3.037NM,2.916NM,3.035NM,3.048NM,3.144NM,3.123NM,3.151NM,3.186NM,3.264NM,
174420,3.023NM,3.081NM,2.89NM,2.978NM,3.052NM,3.146NM,3.161NM,3.132NM,3.186NM,3.264NM,
174437,0.002NM,3.023NM,2.955NM,3.044NM,2.995NM,3.098NM,3.157NM,3.107NM,3.186NM,3.264NM,
174456,3.016NM,3.041NM,2.875NM,3.058NM,3NM,3.165NM,3.134NM,3.142NM,3.186NM,3.264NM,
174515,3.018NM,3.067NM,2.89NM,3.016NM,3.056NM,3.18NM,3.106NM,3.121NM,3.186NM,3.264NM,
174534,3.054NM,3.035NM,2.967NM,3.033NM,3.069NM,3.157NM,3.195NM,3.111NM,3.186NM,3.264NM,
174838,2.97NM,3.004NM,2.963NM,2.997NM,3.029NM,3.077NM,3.134NM,3.132NM,3.186NM,3.264NM,
174856,2.991NM,3.029NM,2.939NM,3NM,3.01NM,3.163NM,3.144NM,3.109NM,3.186NM,3.264NM,
174916,3.056NM,3.052NM,2.944NM,3.021NM,3.086NM,3.134NM,3.194NM,3.132NM,3.186NM,3.264NM,
174935,3.046NM,3.056NM,2.894NM,3.037NM,3.039NM,3.138NM,3.064NM,3.157NM,3.186NM,3.264NM,
174959,3.094NM,3.027NM,2.937NM,3.052NM,3.05NM,3.146NM,3.121NM,3.138NM,3.186NM,3.264NM,
175018,3.023NM,3.031NM,2.897NM,3.065NM,3.041NM,3.127NM,3.159NM,3.098NM,3.186NM,3.264NM,
175036,3.004NM,3.006NM,2.955NM,3.031NM,3.033NM,3.094NM,3.096NM,3.094NM,3.186NM,3.264NM,
175057,3.064NM,3.071NM,2.932NM,3.008NM,3.014NM,3.109NM,3.102NM,3.111NM,3.186NM,3.264NM,
175125,3.018NM,2.979NM,2.925NM,3.065NM,3.039NM,3.144NM,3.228NM,3.176NM,3.186NM,3.264NM,
175144,3.044NM,2.999NM,2.922NM,3.02NM,3.092NM,3.125NM,3.163NM,3.14NM,3.186NM,3.264NM,
175202,3.06NM,3.025NM,2.946NM,3.075NM,3.035NM,3.096NM,3.155NM,3.148NM,3.186NM,3.264NM,
175221,3.096NM,3.025NM,2.946NM,3.05NM,3.077NM,3.102NM,3.155NM,3.102NM,3.186NM,3.264NM,
175443,3.01NM,3.016NM,2.897NM,3.048NM,3.048NM,3.106NM,3.129NM,3.092NM,3.186NM,3.264NM,
175501,3.035NM,3.027NM,2.932NM,3.064NM,3.025NM,3.15NM,3.14NM,3.159NM,3.186NM,3.264NM,
175520,3.037NM,2.997NM,2.95NM,3.06NM,3.043NM,3.107NM,3.085NM,3.165NM,3.186NM,3.264NM,
175546,3.05NM,3.006NM,2.965NM,3.052NM,3.058NM,3.09NM,3.146NM,3.151NM,3.186NM,3.264NM,
175606,3.041NM,2.989NM,2.887NM,3.027NM,3.008NM,3.178NM,3.094NM,3.136NM,3.186NM,3.264NM,
175624,3.046NM,2.993NM,2.878NM,3.041NM,3.085NM,3.22NM,3.119NM,3.155NM,3.186NM,3.264NM,
175652,3.043NM,3.067NM,2.913NM,3.048NM,3.044NM,3.174NM,3.104NM,3.151NM,3.186NM,3.264NM,
175711,3.064NM,3.069NM,2.937NM,3.027NM,3.012NM,3.169NM,3.138NM,3.13NM,3.186NM,3.264NM,
175739,3.069NM,3.039NM,3.019NM,3.025NM,3.062NM,3.115NM,3.125NM,3.142NM,3.186NM,3.264NM,
175757,3.037NM,3.033NM,2.896NM,3.052NM,3.05NM,3.109NM,3.13NM,3.129NM,3.186NM,3.264NM,
175815,3.054NM,3.039NM,2.923NM,3.033NM,3.056NM,3.192NM,3.134NM,3.109NM,3.186NM,3.264NM,
182119,3.044NM,3.067NM,2.983NM,3.037NM,3.048NM,3.148NM,3.136NM,3.106NM,3.186NM,3.264NM,
182141,3.044NM,3.067NM,2.923NM,3.023NM,3.05NM,3.213NM,3.134NM,3.172NM,3.186NM,3.264NM,
182202,3.064NM,3.02NM,2.916NM,2.981NM,3.09NM,3.109NM,3.148NM,3.165NM,3.186NM,3.264NM,
182221,3.062NM,3.052NM,2.939NM,3.035NM,3.062NM,3.146NM,3.117NM,3.146NM,3.186NM,3.264NM,
182240,3.058NM,3.058NM,2.92NM,3.025NM,2.997NM,3.155NM,3.167NM,3.142NM,3.186NM,3.264NM,
182310,3.05NM,3.023NM,2.937NM,3.018NM,3.067NM,3.155NM,3.203NM,3.134NM,3.186NM,3.264NM,
182330,3.029NM,3.037NM,2.93NM,3.02NM,3.018NM,3.171NM,3.138NM,3.146NM,3.186NM,3.264NM,
182358,3.06NM,3.043NM,2.876NM,2.995NM,3.058NM,3.106NM,3.119NM,3.109NM,3.186NM,3.264NM,
182450,3.023NM,3.107NM,2.981NM,3.129NM,2.969NM,3.146NM,3.031NM,3.186NM,3.113NM,3.264NM,3.107NM,
182452,3.023NM,3.107NM,2.981NM,3.129NM,2.969NM,3.146NM,3.031NM,3.186NM,3.113NM,3.264NM,3.107NM,3.129NM,3.146NM,3.186NM,3.264NM,
182514,3.029NM,3.09NM,2.988NM,3.006NM,3.023NM,3.153NM,3.157NM,3.161NM,3.186NM,3.264NM,
182703,3.067NM,3.064NM,2.944NM,3.029NM,3.029NM,3.109NM,3.111NM,3.15NM,3.186NM,3.264NM,
182740,3.02NM,3.043NM,2.979NM,3.048NM,3.048NM,3.115NM,3.136NM,3.14NM,3.186NM,3.264NM,
182758,3.021NM,3.029NM,2.937NM,3.006NM,3.021NM,3.13NM,3.127NM,3.153NM,3.186NM,3.264NM,
182817,3.033NM,3.088NM,2.901NM,3.029NM,3.071NM,3.144NM,3.182NM,3.151NM,3.186NM,3.264NM,
182842,3.033NM,3.027NM,2.941NM,3.104NM,3.025NM,3.132NM,3.123NM,3.132NM,3.186NM,3.264NM,
183308,3.037NM,3.041NM,2.951NM,3.035NM,3.037NM,3.186NM,3.109NM,3.125NM,3.186NM,3.264NM,
183329,3.046NM,3.021NM,2.981NM,3.041NM,3.117NM,3.215NM,3.15NM,3.159NM,3.186NM,3.264NM,
183349,3.014NM,3.037NM,2.941NM,3.067NM,3NM,3.15NM,3.213NM,3.151NM,3.186NM,3.264NM,
183408,3.069NM,3.027NM,2.95NM,2.985NM,3.058NM,3.146NM,3.148NM,3.113NM,3.186NM,3.264NM,
183458,2.997NM,3.035NM,2.946NM,0NM,3.035NM,3.157NM,3.167NM,3.142NM,3.186NM,3.264NM,
183620,3.1NM,3.021NM,2.967NM,3.06NM,3.002NM,3.155NM,3.165NM,3.138NM,3.186NM,3.264NM,
183640,3.043NM,3.056NM,2.944NM,3.02NM,3.054NM,3.123NM,3.157NM,3.144NM,3.186NM,3.264NM,
183659,3.056NM,3.058NM,2.948NM,3.014NM,3.088NM,3.184NM,3.134NM,3.121NM,3.186NM,3.264NM,
183840,3.044NM,3.02NM,2.903NM,2.999NM,2.993NM,3.174NM,3.096NM,3.098NM,3.186NM,3.264NM,
183900,3.085NM,3.048NM,2.941NM,3.014NM,3.046NM,3.056NM,3.167NM,3.14NM,3.186NM,3.264NM,
183919,3.058NM,3.01NM,2.944NM,3.029NM,3.021NM,3.184NM,3.151NM,3.157NM,3.186NM,3.264NM,
183939,3.033NM,3.025NM,2.956NM,3.05NM,3.033NM,3.176NM,3.15NM,3.182NM,3.186NM,3.264NM,
184112,3.064NM,3NM,2.916NM,3.006NM,3.06NM,3.132NM,3.184NM,3.113NM,3.186NM,3.264NM,
184133,3.023NM,3.069NM,2.923NM,3.014NM,3.056NM,3.119NM,3.205NM,3.153NM,3.186NM,3.264NM,
184152,3.048NM,3.02NM,2.956NM,3.065NM,3.06NM,3.142NM,3.194NM,3.119NM,3.186NM,3.264NM,
184212,3.023NM,3.025NM,2.946NM,3.069NM,3.039NM,3.197NM,3.19NM,3.107NM,3.186NM,3.264NM,
184351,3.041NM,3.027NM,2.904NM,3.033NM,3.023NM,3.129NM,3.163NM,3.123NM,3.186NM,3.264NM,
184410,3.014NM,3.014NM,2.977NM,3.035NM,3.048NM,3.098NM,3.125NM,3.163NM,3.186NM,3.264NM,
191346,3.054NM,3.073NM,0NM,3.035NM,3.05NM,3.125NM,3.176NM,3.127NM,3.186NM,3.264NM,
