時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
105907,3.276NM,3.337NM,3.348NM,3.337NM,3.329NM,3.318NM,3.371NM,3.297NM,0NM,0NM,
112228,3.289NM,3.335NM,3.275NM,3.295NM,3.281NM,3.339NM,3.348NM,3.285NM,0NM,0NM,
121245,3.283NM,3.333NM,3.341NM,3.329NM,3.346NM,3.287NM,3.367NM,3.308NM,0NM,0NM,
122313,3.337NM,3.276NM,3.381NM,3.392NM,3.323NM,3.364NM,3.402NM,3.322NM,0NM,0NM,
122657,3.322NM,3.323NM,3.329NM,3.329NM,3.41NM,3.329NM,3.413NM,3.367NM,0NM,0NM,
143238,3.067NM,3.329NM,3.104NM,3.199NM,3.069NM,3.19NM,3.218NM,3.178NM,0NM,0NM,
143303,3.148NM,3.387NM,3.163NM,3.291NM,3.123NM,3.276NM,3.232NM,3.216NM,0NM,0NM,
143511,3.148NM,3.318NM,3.132NM,3.285NM,3.163NM,3.28NM,3.285NM,3.226NM,0NM,0NM,
145038,3.023NM,3.172NM,3.13NM,3.046NM,3.171NM,3.195NM,3.201NM,3.155NM,0NM,0NM,
145235,3.071NM,3.15NM,3.111NM,3.067NM,3.172NM,3.144NM,3.144NM,3.138NM,0NM,0NM,
145748,3.05NM,3.046NM,2.932NM,3.054NM,3.199NM,3.172NM,3.18NM,3.153NM,0NM,0NM,
150019,3.029NM,3.083NM,2.941NM,3.081NM,3.109NM,3.218NM,3.157NM,3.184NM,0NM,0NM,
152237,3.086NM,3.054NM,2.955NM,3.075NM,3.151NM,3.151NM,3.155NM,3.127NM,0NM,0NM,
152435,3.054NM,3.065NM,2.977NM,3.033NM,3.14NM,3.203NM,3.096NM,3.167NM,0NM,0NM,
160957,3.033NM,3.06NM,2.948NM,3.037NM,3.144NM,3.197NM,3.237NM,3.144NM,0NM,0NM,
161226,3.021NM,3.01NM,2.955NM,3.039NM,3.136NM,3.136NM,3.14NM,0NM,0NM,0NM,
171336,3.067NM,3.043NM,2.993NM,3.027NM,3.171NM,3.178NM,3.119NM,3.113NM,0NM,0NM,
171438,3.05NM,3.025NM,2.932NM,2.995NM,3.153NM,3.199NM,3.134NM,3.161NM,0NM,0NM,
172157,3.044NM,3.023NM,2.943NM,3.062NM,3.138NM,3.167NM,3.201NM,3.132NM,0NM,0NM,
172325,3.044NM,3.037NM,2.981NM,3.031NM,3.151NM,3.203NM,3.192NM,3.153NM,0NM,0NM,
172515,3.052NM,3.031NM,2.929NM,3.06NM,3.167NM,3.146NM,3.136NM,3.125NM,0NM,0NM,
172709,3.065NM,2.987NM,2.937NM,3.056NM,3.13NM,3.161NM,3.163NM,3.161NM,0NM,0NM,
172923,3.043NM,3.027NM,2.93NM,3.041NM,3.13NM,3.174NM,3.188NM,3.163NM,0NM,0NM,
173150,3.044NM,3.073NM,2.915NM,3.039NM,3.184NM,3.148NM,3.159NM,3.148NM,0NM,0NM,
173432,3.075NM,3.023NM,2.944NM,3.041NM,3.153NM,3.155NM,3.153NM,3.13NM,0NM,0NM,
173748,3.058NM,3.075NM,2.916NM,3.069NM,0NM,3.167NM,3.14NM,3.13NM,0NM,0NM,
174148,3.052NM,3.035NM,2.882NM,3.025NM,3.052NM,3.125NM,3.146NM,3.104NM,0NM,0NM,
181636,3.297NM,3.333NM,3.369NM,3.322NM,3.348NM,3.329NM,3.322NM,3.327NM,0NM,0NM,
181928,3.327NM,3.345NM,3.369NM,3.356NM,3.325NM,3.352NM,3.345NM,3.346NM,0NM,0NM,
182257,3.345NM,3.331NM,3.358NM,3.35NM,3.302NM,3.358NM,3.381NM,3.36NM,0NM,0NM,
