時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
090038,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
091105,3.346NM,3.371NM,3.404NM,3.369NM,3.354NM,3.327NM,3.348NM,3.348NM,3.398NM,3.329NM,
091159,3.396NM,3.345NM,3.35NM,3.346NM,3.322NM,3.381NM,3.377NM,3.343NM,3.369NM,3.281NM,
093920,3.222NM,3.165NM,3.203NM,3.257NM,3.178NM,3.253NM,3.192NM,3.218NM,3.211NM,3.213NM,
094204,3.192NM,3.213NM,3.221NM,3.18NM,3.188NM,3.257NM,3.211NM,3.245NM,3.195NM,3.22NM,
094444,3.205NM,3.207NM,3.2NM,3.224NM,3.22NM,3.257NM,3.232NM,3.19NM,3.121NM,3.257NM,
094808,3.186NM,3.201NM,3.202NM,3.218NM,3.157NM,3.203NM,3.207NM,3.174NM,3.241NM,3.234NM,
095310,3.186NM,3.201NM,3.16NM,3.211NM,3.218NM,3.237NM,3.184NM,3.23NM,3.155NM,3.157NM,
095519,3.195NM,3.178NM,3.162NM,3.163NM,3.243NM,3.211NM,3.23NM,3.188NM,3.163NM,3.236NM,
100146,3.19NM,3.197NM,3.064NM,3.224NM,3.213NM,3.243NM,3.215NM,3.186NM,3.211NM,3.258NM,
100711,0NM,3.171NM,3.082NM,3.218NM,3.182NM,3.207NM,3.157NM,3.19NM,3.255NM,3.182NM,
112139,3.178NM,3.186NM,3.106NM,3.165NM,3.159NM,3.171NM,3.211NM,3.218NM,3.264NM,3.243NM,
112422,3.249NM,3.213NM,3.077NM,3.174NM,3.169NM,3.226NM,3.176NM,3.207NM,3.209NM,3.205NM,
113821,3.071NM,3.086NM,2.941NM,3.13NM,3.111NM,3.176NM,3.188NM,3.115NM,3.079NM,3.228NM,
114036,3.1NM,3.088NM,2.927NM,3.123NM,3.109NM,0NM,3.174NM,3.092NM,3.148NM,3.194NM,
130613,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
134434,3.119NM,3.073NM,2.918NM,3.111NM,3.058NM,3.243NM,3.161NM,3.123NM,3.18NM,3.188NM,
134803,3.13NM,3.094NM,2.951NM,3.064NM,3.107NM,3.205NM,3.216NM,3.102NM,3.129NM,3.251NM,
135456,3.125NM,3.146NM,2.936NM,3.098NM,3.096NM,3.228NM,3.215NM,3.071NM,3.111NM,3.264NM,
135747,3.077NM,3.043NM,2.956NM,3.081NM,3.09NM,3.218NM,3.188NM,3.06NM,3.167NM,3.161NM,
135939,3.125NM,3.075NM,2.911NM,3.132NM,3.104NM,3.182NM,3.243NM,3.098NM,3.107NM,3.224NM,
140159,3.106NM,3.109NM,2.969NM,3.148NM,3.123NM,3.201NM,3.234NM,3.096NM,3.138NM,3.23NM,
140402,3.085NM,3.1NM,2.91NM,3.098NM,3.117NM,3.195NM,3.188NM,3.075NM,3.075NM,3.203NM,
141055,3.109NM,0NM,2.953NM,3.09NM,3.071NM,3.224NM,3.194NM,3.127NM,3.188NM,3.192NM,
141130,3.086NM,0NM,2.903NM,3.083NM,3.107NM,3.241NM,3.222NM,3.109NM,3.157NM,3.222NM,
142308,3.14NM,3.09NM,2.91NM,3.142NM,3.075NM,0NM,3.195NM,3.1NM,3.172NM,3.257NM,
142340,3.088NM,3.096NM,2.955NM,3.1NM,3.077NM,3.182NM,3.234NM,3.079NM,3.085NM,3.299NM,
142524,3.083NM,3.102NM,2.962NM,3.092NM,3.086NM,3.194NM,3.192NM,3.102NM,3.077NM,3.169NM,
142711,3.1NM,3.098NM,2.969NM,3.094NM,3.058NM,3.182NM,3.167NM,3.115NM,3.102NM,3.171NM,
142855,3.083NM,3.069NM,2.965NM,3.111NM,3.107NM,3.121NM,3.205NM,3.075NM,3.069NM,3.209NM,
143023,3.146NM,3.096NM,2.976NM,3.14NM,3.106NM,3.226NM,3.18NM,3.106NM,3.186NM,3.251NM,
143137,3.117NM,3.09NM,2.998NM,3.113NM,3.136NM,3.199NM,3.213NM,3.088NM,3.157NM,3.228NM,
143344,3.069NM,3.115NM,2.922NM,3.138NM,3.083NM,3.161NM,3.169NM,3.083NM,3.167NM,3.197NM,
143501,3.109NM,3.096NM,2.97NM,3.111NM,3.094NM,3.186NM,3.218NM,3.088NM,3.129NM,3.264NM,
143755,3.119NM,3.102NM,0NM,3.058NM,3.157NM,3.194NM,3.222NM,3.1NM,3.174NM,3.241NM,
143832,3.104NM,3.083NM,2.93NM,3.098NM,3.071NM,3.167NM,3.232NM,3.085NM,3.081NM,3.188NM,
145123,3.039NM,3.048NM,2.896NM,3.052NM,3.071NM,3.016NM,3.067NM,3.058NM,3.014NM,3.023NM,
145351,3.044NM,3.018NM,2.927NM,2.993NM,3.031NM,3.064NM,3.02NM,3.035NM,3.062NM,2.978NM,
145717,3.096NM,3.035NM,2.923NM,3.052NM,3.071NM,3.071NM,3.058NM,3.021NM,3.033NM,3.113NM,
145858,3.073NM,3.098NM,2.955NM,3.016NM,3.138NM,3.043NM,3.05NM,3.065NM,3.071NM,3.052NM,
150052,3.052NM,3.029NM,3.021NM,3.044NM,3.062NM,3.039NM,3.029NM,3.027NM,3.142NM,3.083NM,
150209,3.075NM,3.052NM,2.932NM,3.027NM,3.069NM,3.079NM,3.058NM,3.067NM,3.056NM,3.048NM,
150503,3.041NM,3.054NM,0NM,3.079NM,3.05NM,3.075NM,3.056NM,3.056NM,3.062NM,0NM,
150517,3.073NM,3.06NM,2.97NM,3.037NM,3.075NM,3.06NM,3.041NM,3.046NM,3.081NM,3.065NM,
152009,3.1NM,2.991NM,2.979NM,3.083NM,3.05NM,3.109NM,3.06NM,3.06NM,3.048NM,3.004NM,
152229,3.037NM,3.067NM,2.92NM,3.037NM,2.993NM,3.02NM,2.993NM,3.044NM,3.052NM,3.081NM,
152400,2.989NM,3.002NM,2.88NM,3.029NM,3.012NM,3.085NM,2.999NM,3.002NM,3.073NM,3.056NM,
152515,3.01NM,2.997NM,2.916NM,3.044NM,3.096NM,3.062NM,2.995NM,3.039NM,3.1NM,3.02NM,
152636,3.044NM,3.054NM,2.913NM,3.029NM,3.043NM,3.09NM,3.014NM,3.065NM,3.079NM,3.094NM,
152746,3.048NM,3.025NM,2.904NM,3.067NM,3.058NM,3.075NM,3.037NM,3.064NM,3.044NM,3.031NM,
152918,3.073NM,2.972NM,2.918NM,3.008NM,3.008NM,2.991NM,3.044NM,3.029NM,3.075NM,3NM,
153033,3.083NM,3.06NM,3.026NM,3.069NM,3.058NM,3.046NM,3.043NM,3.033NM,3.127NM,3.062NM,
153241,3.02NM,2.987NM,2.908NM,3.05NM,3.044NM,3.02NM,3.014NM,3.06NM,3.05NM,3.104NM,
153401,3.041NM,3.031NM,2.958NM,3.048NM,3.071NM,3.043NM,3.062NM,3.033NM,3.111NM,3.115NM,
153517,3.027NM,2.995NM,2.969NM,3.018NM,3.043NM,3.012NM,3.056NM,3.054NM,3.092NM,3.016NM,
