時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
095119,3.331NM,3.322NM,3.373NM,3.299NM,3.387NM,3.293NM,3.396NM,3.341NM,0NM,0NM,
095153,3.343NM,3.31NM,3.413NM,3.371NM,3.35NM,3.392NM,3.339NM,3.337NM,0NM,0NM,
095235,3.331NM,3.318NM,3.327NM,3.306NM,3.358NM,3.337NM,3.35NM,3.31NM,0NM,0NM,
095310,3.312NM,3.32NM,3.36NM,3.333NM,3.323NM,3.36NM,3.343NM,3.31NM,0NM,0NM,
095357,3.329NM,3.329NM,3.345NM,3.362NM,3.366NM,3.293NM,3.381NM,3.343NM,0NM,0NM,
095436,3.333NM,3.327NM,3.343NM,3.314NM,3.346NM,3.406NM,3.299NM,3.352NM,0NM,0NM,
095512,3.356NM,3.32NM,3.322NM,3.297NM,3.322NM,3.302NM,3.362NM,3.312NM,0NM,0NM,
095545,3.312NM,3.32NM,3.345NM,3.304NM,3.345NM,3.343NM,3.333NM,3.331NM,0NM,0NM,
095622,3.327NM,3.335NM,3.306NM,3.337NM,3.299NM,3.304NM,3.314NM,3.329NM,0NM,0NM,
095657,3.306NM,3.323NM,3.327NM,3.333NM,3.312NM,3.394NM,3.35NM,3.366NM,0NM,0NM,
095739,3.302NM,3.346NM,3.318NM,3.31NM,3.369NM,3.285NM,3.387NM,3.337NM,0NM,0NM,
095815,3.339NM,3.348NM,3.356NM,3.354NM,3.367NM,3.362NM,3.392NM,3.36NM,0NM,0NM,
133811,3.358NM,3.325NM,3.28NM,3.293NM,3.406NM,3.398NM,3.415NM,3.333NM,0NM,0NM,
133842,3.331NM,3.331NM,3.345NM,3.394NM,3.379NM,3.323NM,3.304NM,3.306NM,0NM,0NM,
134204,3.331NM,3.333NM,3.4NM,3.385NM,3.302NM,3.255NM,3.323NM,3.293NM,0NM,0NM,
134246,3.301NM,3.304NM,3.4NM,3.383NM,3.331NM,3.341NM,3.299NM,0NM,0NM,0NM,
135041,3.293NM,3.323NM,3.32NM,3.341NM,3.398NM,3.356NM,3.406NM,3.31NM,0NM,0NM,
135116,3.327NM,3.335NM,3.301NM,3.285NM,3.352NM,3.373NM,3.36NM,3.314NM,0NM,0NM,
135457,3.301NM,3.339NM,3.346NM,3.323NM,3.331NM,3.327NM,3.318NM,3.362NM,0NM,0NM,
135626,3.371NM,3.323NM,3.31NM,3.341NM,3.354NM,3.364NM,3.371NM,3.331NM,0NM,0NM,
135743,3.333NM,3.314NM,3.367NM,3.35NM,3.366NM,3.316NM,3.308NM,3.308NM,0NM,0NM,
135846,3.394NM,3.337NM,3.325NM,3.327NM,3.392NM,3.375NM,3.346NM,3.339NM,0NM,0NM,
135939,3.366NM,3.358NM,3.421NM,3.322NM,3.333NM,3.285NM,3.4NM,3.316NM,0NM,0NM,
140012,3.364NM,3.345NM,3.358NM,3.352NM,3.339NM,3.323NM,3.35NM,3.331NM,0NM,0NM,
140057,3.316NM,3.352NM,3.335NM,3.295NM,3.323NM,3.322NM,3.314NM,3.323NM,0NM,0NM,
140134,3.354NM,3.293NM,3.388NM,3.325NM,3.373NM,3.325NM,3.387NM,3.379NM,0NM,0NM,
140225,3.333NM,3.352NM,3.325NM,3.335NM,3.295NM,3.302NM,3.434NM,3.314NM,0NM,0NM,
140308,3.325NM,3.337NM,3.358NM,3.362NM,3.301NM,3.343NM,3.285NM,3.325NM,0NM,0NM,
140359,3.4NM,3.327NM,3.362NM,3.327NM,3.339NM,3.289NM,3.337NM,3.32NM,0NM,0NM,
140504,3.325NM,3.31NM,3.318NM,3.327NM,3.367NM,3.364NM,3.301NM,3.306NM,0NM,0NM,
140549,3.316NM,3.387NM,3.358NM,3.366NM,3.366NM,3.394NM,3.314NM,3.323NM,0NM,0NM,
140627,3.312NM,3.346NM,3.331NM,3.346NM,3.364NM,3.356NM,3.293NM,3.352NM,0NM,0NM,
154655,3.331NM,3.39NM,3.37NM,3.402NM,3.362NM,3.258NM,3.316NM,3.32NM,0NM,0NM,
154734,3.383NM,3.331NM,3.346NM,3.385NM,3.333NM,3.373NM,3.302NM,3.339NM,0NM,0NM,
154814,3.402NM,3.318NM,3.365NM,3.302NM,3.304NM,3.394NM,3.299NM,3.348NM,0NM,0NM,
154848,3.308NM,3.316NM,3.299NM,3.318NM,3.316NM,3.396NM,3.392NM,3.346NM,0NM,0NM,
155039,3.381NM,3.373NM,3.377NM,3.366NM,3.364NM,3.358NM,3.333NM,3.31NM,0NM,0NM,
155504,3.325NM,3.354NM,3.36NM,3.35NM,3.4NM,3.364NM,3.335NM,3.346NM,0NM,0NM,
155757,3.394NM,3.331NM,3.324NM,3.329NM,3.341NM,3.421NM,3.291NM,3.366NM,0NM,0NM,
155830,3.345NM,3.348NM,3.344NM,3.301NM,3.39NM,3.369NM,3.354NM,3.32NM,0NM,0NM,
