時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
084448,3.09NM,3.073NM,2.876NM,3.014NM,3.09NM,3.222NM,3.174NM,3.184NM,0NM,0NM,
084534,3.127NM,3.117NM,2.955NM,3.104NM,3.081NM,3.159NM,3.184NM,3.194NM,0NM,0NM,
084622,3.083NM,3.056NM,2.955NM,3.079NM,3.117NM,3.234NM,3.243NM,3.163NM,0NM,0NM,
084740,3.075NM,3.092NM,2.908NM,3.067NM,3.06NM,3.222NM,3.23NM,3.211NM,0NM,0NM,
084759,0.002NM,3.1NM,2.916NM,3.113NM,3.086NM,3.182NM,3.23NM,3.195NM,0NM,0NM,
084827,3.121NM,3.107NM,2.91NM,3.077NM,3.056NM,3.209NM,3.222NM,3.197NM,0NM,0NM,
085806,3.111NM,3.044NM,2.955NM,3.073NM,3.06NM,3.237NM,3.142NM,3.171NM,0NM,0NM,
085827,3.109NM,3.094NM,2.951NM,3.035NM,3.083NM,3.194NM,3.159NM,3.163NM,0NM,0NM,
085848,3.14NM,3.079NM,2.934NM,3.113NM,3.102NM,3.151NM,3.207NM,3.153NM,0NM,0NM,
085907,3.06NM,3.09NM,2.946NM,3.132NM,3.107NM,3.174NM,3.159NM,3.155NM,0NM,0NM,
085932,3.081NM,3.079NM,2.944NM,3.098NM,3.06NM,3.165NM,3.176NM,3.19NM,0NM,0NM,
090116,3.075NM,3.106NM,2.925NM,3.058NM,3.064NM,3.161NM,3.151NM,3.153NM,0NM,0NM,
090153,3.081NM,3.069NM,2.887NM,3.071NM,3.071NM,3.237NM,3.169NM,3.174NM,0NM,0NM,
090219,3.153NM,3.075NM,2.932NM,3.104NM,3.081NM,3.264NM,3.194NM,3.205NM,0NM,0NM,
090240,3.106NM,3.069NM,2.932NM,3.136NM,3.098NM,3.178NM,3.172NM,3.159NM,0NM,0NM,
090302,3.083NM,3.096NM,2.969NM,3.052NM,3.069NM,3.176NM,3.178NM,3.174NM,0NM,0NM,
090410,3.081NM,3.092NM,2.916NM,3.081NM,3.09NM,3.199NM,3.169NM,3.184NM,0NM,0NM,
