時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
131542,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
131733,2.983NM,2.979NM,2.95NM,3.014NM,3.096NM,3.086NM,3.094NM,3.138NM,0NM,0NM,
131809,3.039NM,2.968NM,3.023NM,2.972NM,3.075NM,3.129NM,3.094NM,3.104NM,0NM,0NM,
132001,3.048NM,2.995NM,2.976NM,3.006NM,3.098NM,3.127NM,3.13NM,3.13NM,0NM,0NM,
132038,2.999NM,3.031NM,2.923NM,2.993NM,3.144NM,3.155NM,3.186NM,3.125NM,0NM,0NM,
132147,3.01NM,3.025NM,2.903NM,2.993NM,3.085NM,3.195NM,3.115NM,3.109NM,0NM,0NM,
132227,3.031NM,3.006NM,2.956NM,3.008NM,3.15NM,3.159NM,3.111NM,3.13NM,0NM,0NM,
132326,3.004NM,2.966NM,2.943NM,3.041NM,3.096NM,3.136NM,3.125NM,3.098NM,0NM,0NM,
132407,3.012NM,3.012NM,2.93NM,3.012NM,3.161NM,3.1NM,3.109NM,3.15NM,0NM,0NM,
