時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
114110,2.232NM,2.184NM,2.186NM,2.268NM,2.244NM,2.284NM,0NM,2.184NM,0NM,0NM,
114236,2.224NM,2.234NM,2.2NM,2.209NM,2.226NM,2.261NM,2.23NM,2.198NM,0NM,0NM,
114409,0NM,2.238NM,2.19NM,2.2NM,2.251NM,2.226NM,2.234NM,2.224NM,0NM,0NM,
114817,2.232NM,2.226NM,2.209NM,2.224NM,2.192NM,2.255NM,2.192NM,2.215NM,0NM,0NM,
115024,2.242NM,2.224NM,2.24NM,2.19NM,2.167NM,2.263NM,2.228NM,2.203NM,0NM,0NM,
115230,2.211NM,2.19NM,2.198NM,2.203NM,2.201NM,2.186NM,0NM,2.2NM,0NM,0NM,
130410,0NM,0NM,0NM,0NM,2.2NM,0NM,0NM,0NM,0NM,0NM,
130557,2.247NM,2.245NM,2.23NM,2.249NM,2.24NM,2.2NM,2.198NM,2.244NM,0NM,0NM,
131556,2.198NM,0NM,0NM,2.203NM,2.196NM,2.232NM,0NM,2.223NM,0NM,0NM,
131750,2.213NM,2.253NM,2.186NM,2.223NM,2.201NM,2.217NM,2.207NM,2.221NM,0NM,0NM,
132246,2.205NM,2.201NM,2.196NM,2.251NM,2.182NM,2.259NM,2.238NM,2.238NM,0NM,0NM,
132525,2.284NM,2.215NM,2.242NM,2.198NM,2.205NM,2.175NM,2.211NM,2.186NM,0NM,0NM,
132653,2.253NM,0NM,2.223NM,2.201NM,2.177NM,2.198NM,2.188NM,2.192NM,0NM,0NM,
132926,0NM,0NM,0NM,0NM,2.2NM,2.196NM,2.201NM,2.205NM,0NM,0NM,
175655,0NM,0NM,2.23NM,0NM,2.192NM,2.184NM,0NM,0NM,0NM,0NM,
181905,2.205NM,2.198NM,2.23NM,0NM,2.177NM,2.213NM,2.194NM,2.226NM,0NM,0NM,
182118,2.224NM,2.209NM,2.255NM,2.201NM,2.236NM,2.232NM,2.19NM,2.217NM,0NM,0NM,
182441,2.196NM,2.211NM,2.186NM,2.184NM,2.188NM,2.2NM,2.203NM,2.226NM,0NM,0NM,
182558,2.196NM,2.186NM,2.186NM,2.196NM,2.184NM,2.261NM,2.221NM,2.238NM,0NM,0NM,
182711,2.171NM,2.18NM,2.201NM,2.209NM,2.2NM,2.211NM,2.194NM,2.24NM,0NM,0NM,
182829,2.184NM,2.192NM,2.201NM,2.19NM,2.179NM,2.2NM,2.198NM,2.2NM,0NM,0NM,
183003,2.211NM,2.211NM,2.217NM,2.24NM,2.198NM,2.192NM,2.201NM,2.2NM,0NM,0NM,
183201,2.2NM,2.196NM,2.23NM,2.228NM,2.2NM,2.173NM,2.224NM,2.251NM,0NM,0NM,
183430,2.257NM,2.213NM,0NM,2.274NM,2.23NM,2.213NM,2.251NM,2.255NM,0NM,0NM,
192443,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
192534,2.207NM,2.209NM,2.249NM,2.136NM,0NM,2.236NM,0NM,0NM,0NM,0NM,
192749,2.19NM,0NM,2.226NM,0NM,0NM,0NM,0NM,2.251NM,0NM,0NM,
193427,2.194NM,2.188NM,2.24NM,2.198NM,2.186NM,2.196NM,2.207NM,2.228NM,0NM,0NM,
193716,2.217NM,2.196NM,2.2NM,2.194NM,2.194NM,2.175NM,2.182NM,2.201NM,0NM,0NM,
193830,2.196NM,2.188NM,2.215NM,2.205NM,2.205NM,2.244NM,2.224NM,2.198NM,0NM,0NM,
194301,2.242NM,2.224NM,2.201NM,2.236NM,2.211NM,2.213NM,2.201NM,2.2NM,0NM,0NM,
200015,2.198NM,2.192NM,2.188NM,2.194NM,2.182NM,2.18NM,2.198NM,2.188NM,2.23NM,2.223NM,
200205,2.198NM,2.23NM,2.198NM,2.201NM,2.24NM,2.19NM,2.194NM,2.211NM,2.203NM,2.19NM,
200440,2.192NM,2.186NM,2.207NM,2.194NM,2.224NM,2.201NM,2.188NM,2.201NM,2.196NM,2.171NM,
200654,2.23NM,2.19NM,2.249NM,2.247NM,2.19NM,2.194NM,2.19NM,2.192NM,2.198NM,2.238NM,
201113,2.247NM,2.213NM,2.232NM,2.278NM,2.278NM,2.238NM,2.234NM,2.234NM,2.251NM,2.286NM,
204416,2.196NM,2.2NM,2.24NM,2.244NM,2.274NM,2.205NM,2.261NM,2.213NM,2.2NM,2.198NM,
