時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
083506,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
084010,3.02NM,2.981NM,2.892NM,2.966NM,3.098NM,3.088NM,3.106NM,3.127NM,0NM,0NM,
084041,3.014NM,3.006NM,2.873NM,2.983NM,3.056NM,3.19NM,3.102NM,3.127NM,0NM,0NM,
084453,3.052NM,3.037NM,2.91NM,3.002NM,3.086NM,3.178NM,3.186NM,3.117NM,0NM,0NM,
084526,3.021NM,2.972NM,2.885NM,2.974NM,3.037NM,3.107NM,3.1NM,3.138NM,0NM,0NM,
084546,2.995NM,3.033NM,2.87NM,2.974NM,3.01NM,3.096NM,3.13NM,3.163NM,0NM,0NM,
084617,3.052NM,3.012NM,2.927NM,3.052NM,3.021NM,3.146NM,3.106NM,3.115NM,0NM,0NM,
084639,3.102NM,3.075NM,2.953NM,2.968NM,3.012NM,3.09NM,3.121NM,3.171NM,0NM,0NM,
084708,3.008NM,3NM,2.988NM,3.008NM,3.033NM,3.1NM,3.157NM,3.123NM,0NM,0NM,
084732,3.056NM,2.972NM,2.873NM,3.035NM,3.018NM,3.178NM,3.104NM,3.113NM,0NM,0NM,
084814,3.067NM,2.997NM,2.864NM,2.966NM,3.025NM,3.155NM,3.153NM,3.104NM,0NM,0NM,
085028,3.029NM,3.033NM,2.861NM,3.014NM,3.014NM,3.151NM,3.115NM,3.129NM,0NM,0NM,
085058,2.997NM,2.981NM,2.89NM,3.006NM,3.01NM,3.125NM,3.142NM,3.178NM,0NM,0NM,
085118,3NM,3.02NM,2.953NM,2.997NM,3.01NM,3.123NM,3.159NM,3.106NM,0NM,0NM,
085137,3.033NM,2.96NM,2.908NM,3.01NM,3.067NM,3.197NM,3.085NM,3.148NM,0NM,0NM,
085201,3NM,3.048NM,2.866NM,3.025NM,3.025NM,3.117NM,3.117NM,3.132NM,0NM,0NM,
085233,3.021NM,3.01NM,2.91NM,3.018NM,2.995NM,3.165NM,3.146NM,3.138NM,0NM,0NM,
085253,3.006NM,2.968NM,2.95NM,2.979NM,3.052NM,3.134NM,3.054NM,3.138NM,0NM,0NM,
085312,3.033NM,3.027NM,2.896NM,2.978NM,2.97NM,3.134NM,3.113NM,3.111NM,0NM,0NM,
085332,2.997NM,3NM,2.927NM,3.039NM,3.048NM,3.109NM,3.161NM,3.121NM,0NM,0NM,
085411,3.012NM,2.981NM,2.918NM,3.01NM,3.027NM,3.056NM,3.096NM,3.121NM,0NM,0NM,
085429,3.014NM,3.033NM,2.847NM,3.027NM,3.025NM,3.142NM,3.127NM,3.123NM,0NM,0NM,
085448,3NM,2.958NM,2.991NM,3NM,2.997NM,3.167NM,3.142NM,3.109NM,0NM,0NM,
085514,3.023NM,3NM,2.988NM,3.035NM,2.997NM,3.129NM,3.146NM,3.151NM,0NM,0NM,
085551,0NM,2.989NM,2.896NM,3.056NM,3.018NM,3.106NM,3.113NM,3.107NM,0NM,0NM,
172722,3.014NM,0NM,2.906NM,3.002NM,2.97NM,3.207NM,3.1NM,3.171NM,0NM,0NM,
172759,0NM,3.046NM,2.873NM,3.006NM,2.985NM,3.171NM,3.14NM,3.113NM,0NM,0NM,
172836,0.002NM,3.039NM,2.916NM,2.997NM,3.043NM,3.14NM,3.161NM,3.146NM,0NM,0NM,
172856,3.021NM,3.052NM,2.871NM,3.012NM,3.004NM,3.134NM,3.163NM,3.127NM,0NM,0NM,
172931,3.021NM,3.016NM,2.878NM,3.016NM,3.046NM,3.125NM,3.102NM,3.092NM,0NM,0NM,
173413,0.002NM,3.029NM,2.916NM,3.025NM,3.037NM,3.176NM,3.13NM,3.134NM,0NM,0NM,
173540,3.058NM,3.01NM,2.925NM,3.018NM,3.025NM,3.069NM,3.106NM,3.111NM,0NM,0NM,
173600,3.016NM,3.025NM,2.904NM,3.031NM,2.987NM,3.123NM,3.073NM,3.13NM,0NM,0NM,
173809,3.031NM,3.062NM,2.871NM,2.989NM,2.999NM,3.098NM,3.161NM,3.13NM,0NM,0NM,
173826,3.086NM,3.044NM,2.887NM,3.085NM,3.092NM,3.09NM,3.106NM,3.13NM,0NM,0NM,
173848,3.012NM,3.056NM,2.887NM,3.086NM,3.008NM,3.1NM,3.157NM,3.123NM,0NM,0NM,
173914,3.037NM,3.008NM,2.941NM,2.974NM,2.991NM,3.106NM,3.075NM,3.148NM,0NM,0NM,
173933,3.043NM,3.052NM,2.89NM,3.054NM,3.01NM,3.13NM,3.079NM,3.163NM,0NM,0NM,
173953,3.048NM,2.995NM,2.923NM,2.985NM,3.039NM,3.155NM,3.132NM,3.171NM,0NM,0NM,
174016,3.052NM,3.037NM,2.906NM,3.062NM,3.071NM,3.117NM,3.109NM,3.146NM,0NM,0NM,
174129,3.004NM,3.012NM,2.925NM,2.966NM,0NM,3.157NM,3.13NM,3.157NM,0NM,0NM,
