時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
084406,3.065NM,3.023NM,2.927NM,3.044NM,3.008NM,3.138NM,3.129NM,3.106NM,0NM,0NM,
084437,3.027NM,3.058NM,2.89NM,3.046NM,3.05NM,3.159NM,3.096NM,3.159NM,0NM,0NM,
084503,3.035NM,3.006NM,2.927NM,3.067NM,3.016NM,3.125NM,3.146NM,3.142NM,0NM,0NM,
084550,3.035NM,3.064NM,2.96NM,3.01NM,3.056NM,3.088NM,3.163NM,3.1NM,0NM,0NM,
085049,3.041NM,3.033NM,2.984NM,3.033NM,3.048NM,3.129NM,3.205NM,3.121NM,0NM,0NM,
085109,3.094NM,3.037NM,2.946NM,3.043NM,3.048NM,3.102NM,3.134NM,3.13NM,0NM,0NM,
085130,3.065NM,3.043NM,2.875NM,3.058NM,3.077NM,3.129NM,3.18NM,3.146NM,0NM,0NM,
085151,3.048NM,3.008NM,2.908NM,3.037NM,3.048NM,3.125NM,3.102NM,3.171NM,0NM,0NM,
085210,3.079NM,3.064NM,2.915NM,3.02NM,3.046NM,3.151NM,3.092NM,3.115NM,0NM,0NM,
085253,3.035NM,3.094NM,3NM,3.05NM,3.065NM,3.194NM,3.169NM,3.144NM,0NM,0NM,
085313,3.027NM,3.021NM,2.977NM,3.025NM,3.023NM,3.182NM,3.098NM,3.159NM,0NM,0NM,
085333,3.01NM,3.002NM,2.899NM,3.021NM,3.018NM,3.125NM,3.146NM,3.119NM,0NM,0NM,
085358,3.062NM,3.029NM,2.91NM,3.065NM,3.09NM,3.138NM,3.129NM,3.171NM,0NM,0NM,
085432,3.044NM,3.018NM,2.918NM,3.043NM,3.071NM,3.142NM,3.125NM,3.161NM,0NM,0NM,
085454,3.006NM,3.018NM,2.901NM,3.002NM,3.081NM,3.134NM,3.094NM,3.102NM,0NM,0NM,
085532,0NM,2.979NM,2.892NM,3.041NM,3.075NM,3.129NM,3.138NM,3.161NM,0NM,0NM,
090206,3.069NM,3.056NM,2.923NM,3.031NM,3.071NM,3.169NM,3.167NM,3.155NM,0NM,0NM,
090230,3.023NM,3.041NM,2.988NM,3.065NM,3.06NM,3.15NM,3.199NM,3.148NM,0NM,0NM,
090256,3.035NM,3.018NM,2.967NM,3.064NM,3.077NM,3.159NM,3.127NM,3.142NM,0NM,0NM,
090326,3.041NM,3.069NM,2.911NM,3.064NM,3.004NM,3.096NM,3.109NM,3.121NM,0NM,0NM,
172449,3.044NM,3.039NM,0NM,3.012NM,3.048NM,3.132NM,3.129NM,3.134NM,0NM,0NM,
172600,3.043NM,3.073NM,2.923NM,3.004NM,3.083NM,3.151NM,3.136NM,3.13NM,0NM,0NM,
172629,3.088NM,3.06NM,2.974NM,3.021NM,3.06NM,3.207NM,3.107NM,3.157NM,0NM,0NM,
180609,3.043NM,3.071NM,2.925NM,3.088NM,3.037NM,3.186NM,3.144NM,3.121NM,0NM,0NM,
182141,3.06NM,3.064NM,2.951NM,3.027NM,3.056NM,3.151NM,3.157NM,3.157NM,0NM,0NM,
182210,0.002NM,3.043NM,2.991NM,3.048NM,3.043NM,3.192NM,3.138NM,3.134NM,0NM,0NM,
182457,3.05NM,3.081NM,2.95NM,3.06NM,3.046NM,3.165NM,3.136NM,3.125NM,0NM,0NM,
182529,3.062NM,3.041NM,2.932NM,3.033NM,3.058NM,3.161NM,3.188NM,3.138NM,0NM,0NM,
182704,3.081NM,3.098NM,2.899NM,3.035NM,3.096NM,3.167NM,3.125NM,3.102NM,0NM,0NM,
182732,3.002NM,3.029NM,2.967NM,3.014NM,3.092NM,3.178NM,3.106NM,3.155NM,0NM,0NM,
183010,3.025NM,2.999NM,2.939NM,3.037NM,3.064NM,3.15NM,3.127NM,3.172NM,0NM,0NM,
183042,3.035NM,3.018NM,2.965NM,3.021NM,3.035NM,3.113NM,3.213NM,3.171NM,0NM,0NM,
183152,3.094NM,3.079NM,2.906NM,3.027NM,3.002NM,3.14NM,3.121NM,3.102NM,0NM,0NM,
183219,3.02NM,3.012NM,2.944NM,3.014NM,3.01NM,3.167NM,3.172NM,3.146NM,0NM,0NM,
183337,3.065NM,3.025NM,2.99NM,3.069NM,3.031NM,3.153NM,3.176NM,3.171NM,0NM,0NM,
183406,3.039NM,3.046NM,2.99NM,3.069NM,3.062NM,3.115NM,3.188NM,3.163NM,0NM,0NM,
183503,3.021NM,3.033NM,3.035NM,3.064NM,3.065NM,3.098NM,3.151NM,3.094NM,0NM,0NM,
183532,0.002NM,3.018NM,2.934NM,3.033NM,3.031NM,3.165NM,3.129NM,3.159NM,0NM,0NM,
183558,3.044NM,3.065NM,2.967NM,3.01NM,3.092NM,3.153NM,3.148NM,3.1NM,0NM,0NM,
183633,3.056NM,3.031NM,2.915NM,3.048NM,3.035NM,3.161NM,3.148NM,3.174NM,0NM,0NM,
183813,3.039NM,3.008NM,2.977NM,3.067NM,3.083NM,3.148NM,3.153NM,3.169NM,0NM,0NM,
183840,3.037NM,3.094NM,2.983NM,3.016NM,3.039NM,3.215NM,3.169NM,3.13NM,0NM,0NM,
183932,3.113NM,3.014NM,2.932NM,3.09NM,3.043NM,3.169NM,3.182NM,3.127NM,0NM,0NM,
184001,3.044NM,3.083NM,2.934NM,3.046NM,3.043NM,3.15NM,3.18NM,3.129NM,0NM,0NM,
184057,3.018NM,3.083NM,2.937NM,3.046NM,3.067NM,3.144NM,3.13NM,3.174NM,0NM,0NM,
184134,3.077NM,3.02NM,2.979NM,3.085NM,3.062NM,3.155NM,3.121NM,3.132NM,0NM,0NM,
