時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
091255,3.018NM,3.012NM,2.873NM,3.029NM,3.071NM,3.186NM,3.075NM,3.125NM,0NM,0NM,
091719,3.05NM,3.004NM,2.89NM,2.991NM,3.025NM,3.172NM,3.085NM,3.136NM,0NM,0NM,
091756,3.041NM,3.027NM,2.903NM,3.035NM,2.96NM,3.127NM,3.081NM,3.134NM,0NM,0NM,
091827,3.054NM,3.023NM,2.995NM,2.989NM,3.031NM,3.169NM,3.119NM,3.134NM,0NM,0NM,
091900,3.046NM,2.997NM,2.882NM,3.016NM,2.987NM,3.19NM,3.153NM,3.138NM,0NM,0NM,
091924,3.018NM,3.041NM,2.922NM,2.993NM,3.044NM,3.157NM,3.081NM,3.129NM,0NM,0NM,
091959,3.016NM,3.033NM,2.903NM,3.044NM,0NM,3.125NM,3.169NM,3.14NM,0NM,0NM,
092037,3.073NM,2.966NM,2.944NM,3.027NM,3.046NM,3.107NM,3.09NM,3.088NM,0NM,0NM,
092108,3.025NM,3NM,2.878NM,3.052NM,3.018NM,3.146NM,3.104NM,3.146NM,0NM,0NM,
092140,3.033NM,3.023NM,2.892NM,2.978NM,0NM,3.14NM,3.111NM,3.123NM,0NM,0NM,
092235,3.002NM,3.071NM,2.915NM,3.033NM,2.999NM,3.081NM,3.132NM,3.138NM,0NM,0NM,
092328,3.025NM,3.062NM,2.915NM,3.033NM,0NM,3.106NM,3.117NM,3.117NM,0NM,0NM,
195152,3.056NM,3.025NM,2.896NM,3.054NM,3.02NM,3.127NM,3.127NM,3.123NM,0NM,0NM,
195206,3.043NM,2.985NM,2.941NM,3.062NM,3.008NM,3.111NM,3.092NM,3.148NM,0NM,0NM,
