時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
081019,0NM,3.278NM,3.327NM,3.318NM,3.335NM,3.341NM,3.383NM,3.306NM,0NM,0NM,
081701,3.337NM,3.404NM,3.354NM,3.341NM,3.358NM,3.366NM,3.346NM,3.35NM,0NM,0NM,
085057,3.318NM,3.323NM,3.36NM,3.329NM,3.404NM,3.383NM,3.32NM,3.35NM,0NM,0NM,
085213,3.356NM,3.331NM,3.341NM,3.341NM,3.373NM,3.35NM,3.358NM,3.333NM,0NM,0NM,
161457,3.329NM,3.31NM,3.387NM,0NM,3.314NM,3.387NM,3.323NM,3.333NM,0NM,0NM,
163454,0NM,3.346NM,3.394NM,3.316NM,3.322NM,3.345NM,3.27NM,3.295NM,0NM,0NM,
164337,3.335NM,3.327NM,3.32NM,3.327NM,3.343NM,3.381NM,3.335NM,3.301NM,0NM,0NM,
164557,0NM,3.356NM,3.301NM,3.35NM,3.337NM,3.36NM,3.339NM,3.325NM,0NM,0NM,
171043,3.32NM,3.377NM,3.362NM,3.383NM,3.343NM,3.392NM,3.366NM,3.314NM,0NM,0NM,
171425,3.331NM,3.341NM,3.385NM,3.411NM,3.367NM,3.333NM,3.335NM,3.318NM,0NM,0NM,
171738,3.335NM,3.333NM,3.339NM,3.322NM,3.333NM,3.392NM,3.299NM,3.345NM,0NM,0NM,
171909,3.362NM,3.306NM,3.327NM,3.308NM,3.297NM,3.392NM,3.31NM,3.346NM,0NM,0NM,
