時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
083906,2.995NM,3NM,2.965NM,3.065NM,3.104NM,3.109NM,3.125NM,3.165NM,0NM,0NM,
083926,3.014NM,2.974NM,2.965NM,2.981NM,3.171NM,3.096NM,3.106NM,3.127NM,0NM,0NM,
083954,0NM,3.054NM,2.929NM,2.966NM,3.171NM,3.098NM,3.098NM,3.086NM,0NM,0NM,
084536,2.997NM,2.968NM,0NM,2.981NM,3.096NM,3.077NM,3.106NM,3.111NM,0NM,0NM,
084958,3.008NM,3.031NM,2.925NM,3.021NM,3.113NM,3.075NM,3.077NM,3.142NM,0NM,0NM,
085028,3.039NM,3.05NM,2.953NM,2.995NM,3.113NM,3.085NM,3.113NM,3.129NM,0NM,0NM,
085223,3.021NM,2.97NM,2.941NM,3.025NM,3.1NM,3.096NM,3.104NM,3.096NM,0NM,0NM,
085314,3.021NM,3.016NM,2.913NM,3.012NM,3.146NM,3.138NM,3.083NM,3.123NM,0NM,0NM,
085335,3.014NM,2.97NM,2.934NM,2.968NM,3.067NM,3.163NM,3.083NM,3.157NM,0NM,0NM,
085352,3.035NM,3.054NM,2.969NM,3.004NM,3.064NM,3.071NM,3.136NM,3.13NM,0NM,0NM,
085410,3.006NM,3.075NM,2.976NM,3.033NM,3.094NM,3.104NM,3.067NM,3.1NM,0NM,0NM,
085447,3.079NM,3.029NM,2.943NM,2.974NM,3.079NM,3.127NM,3.106NM,3.104NM,0NM,0NM,
085504,3.004NM,3.023NM,2.965NM,3.052NM,3.113NM,3.109NM,3.077NM,3.106NM,0NM,0NM,
085534,3.058NM,3.044NM,2.993NM,3.002NM,3.119NM,3.199NM,3.119NM,3.127NM,0NM,0NM,
085555,0.002NM,2.97NM,2.951NM,3.023NM,3.1NM,3.071NM,3.096NM,3.13NM,0NM,0NM,
085625,3.054NM,2.999NM,2.937NM,3.025NM,3.121NM,3.067NM,3.096NM,3.132NM,0NM,0NM,
085644,2.989NM,2.981NM,3NM,3.048NM,3.119NM,3.13NM,3.106NM,3.129NM,0NM,0NM,
085713,2.981NM,3.027NM,2.922NM,2.97NM,3.086NM,3.065NM,3.13NM,3.102NM,0NM,0NM,
085732,0NM,3.006NM,2.937NM,3.006NM,3.086NM,3.169NM,3.104NM,3.113NM,0NM,0NM,
085755,0.002NM,3.016NM,2.925NM,2.985NM,3.1NM,3.075NM,3.129NM,3.088NM,0NM,0NM,
085841,3.014NM,3.002NM,2.983NM,3.02NM,3.086NM,0NM,3.106NM,3.079NM,0NM,0NM,
085917,3.056NM,3.044NM,2.913NM,2.974NM,3.102NM,3.102NM,3.083NM,3.129NM,0NM,0NM,
090050,3.062NM,2.983NM,2.996NM,3.043NM,3.092NM,3.107NM,3.083NM,3.151NM,0NM,0NM,
090107,2.974NM,3.014NM,2.925NM,2.993NM,3.085NM,3.111NM,3.134NM,3.106NM,0NM,0NM,
090125,3.027NM,2.985NM,2.939NM,3.002NM,3.081NM,3.178NM,3.148NM,3.115NM,0NM,0NM,
090152,0NM,3.071NM,2.896NM,2.968NM,3.115NM,3.109NM,3.106NM,3.13NM,0NM,0NM,
090210,3.048NM,2.997NM,2.937NM,2.979NM,3.073NM,3.075NM,3.1NM,3.148NM,0NM,0NM,
090350,3.021NM,2.999NM,2.946NM,2.993NM,3.129NM,3.086NM,3.083NM,3.142NM,0NM,0NM,
090407,3.044NM,2.995NM,2.922NM,2.989NM,3.115NM,3.13NM,3.194NM,3.148NM,0NM,0NM,
090432,3.025NM,3.018NM,0NM,3.029NM,3.127NM,3.167NM,3.079NM,3.165NM,0NM,0NM,
090526,3.039NM,3.05NM,2.918NM,3.048NM,3.188NM,3.121NM,3.086NM,3.094NM,0NM,0NM,
090557,3.079NM,3.008NM,2.91NM,3.002NM,3.071NM,3.123NM,3.121NM,3.121NM,0NM,0NM,
090617,3.05NM,2.979NM,2.941NM,2.989NM,3.123NM,3.075NM,3.098NM,3.107NM,0NM,0NM,
090640,3.031NM,3.021NM,2.967NM,3.043NM,3.107NM,3.121NM,3.092NM,3.132NM,0NM,0NM,
090657,3.064NM,2.991NM,2.944NM,3NM,3.09NM,3.075NM,3.109NM,3.111NM,0NM,0NM,
090715,3.006NM,3.064NM,2.97NM,2.979NM,3.075NM,3.1NM,3.169NM,3.129NM,0NM,0NM,
090750,3.052NM,2.974NM,2.932NM,3.048NM,3.096NM,3.134NM,3.104NM,3.107NM,0NM,0NM,
090818,3.031NM,3NM,2.983NM,2.976NM,3.086NM,3.094NM,3.121NM,3.13NM,0NM,0NM,
090838,3.073NM,2.999NM,2.972NM,3.073NM,3.111NM,3.157NM,3.159NM,3.142NM,0NM,0NM,
090912,3.044NM,2.989NM,2.922NM,3.004NM,3.151NM,3.071NM,3.127NM,3.102NM,0NM,0NM,
091001,3.075NM,3.077NM,2.927NM,3.033NM,3.079NM,3.092NM,3.115NM,3.121NM,0NM,0NM,
091026,2.993NM,3.041NM,2.93NM,3.02NM,3.138NM,3.129NM,3.073NM,3.096NM,0NM,0NM,
091056,3.006NM,3.016NM,2.91NM,0NM,3.085NM,3.083NM,3.123NM,3.148NM,0NM,0NM,
