時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
105157,0.002NM,3.325NM,3.362NM,3.35NM,3.354NM,3.392NM,3.327NM,3.337NM,0NM,0NM,
115849,0.002NM,2.913NM,2.955NM,2.907NM,2.867NM,2.892NM,2.87NM,2.956NM,2.911NM,3.018NM,
120727,2.92NM,2.916NM,2.951NM,2.949NM,2.928NM,2.924NM,2.903NM,2.978NM,3.046NM,2.922NM,
130536,2.922NM,2.909NM,2.884NM,2.926NM,2.935NM,2.972NM,2.924NM,2.911NM,2.882NM,2.911NM,
131731,3.071NM,3.021NM,3.018NM,2.993NM,2.981NM,3.043NM,3.021NM,3.023NM,3.027NM,3.035NM,
132147,2.939NM,2.949NM,2.905NM,2.924NM,2.972NM,2.939NM,2.886NM,2.96NM,2.943NM,2.97NM,
132646,3.056NM,2.979NM,3.035NM,3.069NM,3.012NM,2.968NM,3.016NM,3.016NM,3.09NM,3.115NM,
132957,2.928NM,2.895NM,2.932NM,2.914NM,2.951NM,2.968NM,2.999NM,2.935NM,2.951NM,2.991NM,
134447,3.343NM,3.345NM,3.323NM,3.312NM,3.331NM,3.358NM,3.329NM,3.325NM,3.421NM,3.379NM,
