時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
083925,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
084618,3.081NM,3.043NM,2.896NM,3.048NM,3.031NM,3.155NM,3.161NM,3.146NM,0NM,0NM,
084647,0.002NM,3.083NM,2.922NM,3.081NM,3.064NM,3.209NM,3.192NM,3.169NM,0NM,0NM,
084720,3.117NM,3.058NM,2.91NM,3.075NM,3.054NM,3.176NM,3.201NM,3.178NM,0NM,0NM,
084743,3.106NM,3.067NM,2.948NM,3.14NM,3.102NM,3.186NM,3.178NM,3.194NM,0NM,0NM,
085211,3.1NM,3.054NM,2.91NM,3.064NM,3.065NM,3.195NM,3.203NM,3.18NM,0NM,0NM,
085246,3.075NM,3.069NM,2.941NM,3.096NM,3.077NM,3.26NM,3.182NM,3.184NM,0NM,0NM,
085312,3.075NM,3.06NM,2.875NM,3.071NM,3.065NM,3.216NM,3.182NM,3.159NM,0NM,0NM,
085338,0.002NM,3.092NM,2.871NM,3.115NM,3.031NM,3.169NM,3.22NM,3.232NM,0NM,0NM,
085426,3.077NM,3.096NM,2.974NM,3.071NM,3.071NM,0NM,3.134NM,3.19NM,0NM,0NM,
085530,0.002NM,3.043NM,2.974NM,3.083NM,3.071NM,3.207NM,3.211NM,3.203NM,0NM,0NM,
085704,3.129NM,3.092NM,2.93NM,3.102NM,3.079NM,3.207NM,3.226NM,3.19NM,0NM,0NM,
085825,3.06NM,3.062NM,2.923NM,3.086NM,3.062NM,3.14NM,3.167NM,3.194NM,0NM,0NM,
085857,3.129NM,3.09NM,2.948NM,3.125NM,3.098NM,3.195NM,3.228NM,3.182NM,0NM,0NM,
085922,3.079NM,3.094NM,2.984NM,3.083NM,3.098NM,3.172NM,3.159NM,3.171NM,0NM,0NM,
085950,3.069NM,3.085NM,2.93NM,3.106NM,3.058NM,3.161NM,3.163NM,3.197NM,0NM,0NM,
090023,3.083NM,3.067NM,2.925NM,3.119NM,3.094NM,3.222NM,3.188NM,3.18NM,0NM,0NM,
