時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
084049,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,0NM,
084454,0.002NM,3.02NM,2.906NM,3.025NM,2.993NM,3.096NM,3.153NM,3.138NM,0NM,0NM,
084525,3.016NM,2.997NM,2.979NM,2.989NM,3.079NM,3.159NM,3.121NM,3.142NM,0NM,0NM,
084555,3.041NM,2.989NM,2.876NM,0NM,2.976NM,3.127NM,3.151NM,3.178NM,0NM,0NM,
084700,3.02NM,2.991NM,2.918NM,3.037NM,3.021NM,3.127NM,3.119NM,3.155NM,0NM,0NM,
084852,3.029NM,3.056NM,2.899NM,2.968NM,3.064NM,3.09NM,3.136NM,3.146NM,0NM,0NM,
085030,3.025NM,2.97NM,2.956NM,2.979NM,3.044NM,3.094NM,3.14NM,3.134NM,0NM,0NM,
085209,3.069NM,3.008NM,2.965NM,3.012NM,3.008NM,3.157NM,3.14NM,3.111NM,0NM,0NM,
085624,3.083NM,3.02NM,2.896NM,2.979NM,2.97NM,3.15NM,3.127NM,3.086NM,0NM,0NM,
085643,3.029NM,2.979NM,2.904NM,3.006NM,3.016NM,3.096NM,3.104NM,3.106NM,0NM,0NM,
085704,3.052NM,3.054NM,2.93NM,3.031NM,3.025NM,3.094NM,3.113NM,3.119NM,0NM,0NM,
085722,3.004NM,3.031NM,2.937NM,3.043NM,2.968NM,3.161NM,3.169NM,3.13NM,0NM,0NM,
085819,3.067NM,2.974NM,2.943NM,3.075NM,3.025NM,3.146NM,3.127NM,3.144NM,0NM,0NM,
085840,3.035NM,3.002NM,2.967NM,2.989NM,3.041NM,3.188NM,3.132NM,3.13NM,0NM,0NM,
085859,3.056NM,3.039NM,2.963NM,3.048NM,3.018NM,3.104NM,3.081NM,3.111NM,0NM,0NM,
085917,0.002NM,2.997NM,2.927NM,2.993NM,3.054NM,3.176NM,3.088NM,3.119NM,0NM,0NM,
090039,3.031NM,3.096NM,2.883NM,3.037NM,3.086NM,3.153NM,3.14NM,3.123NM,0NM,0NM,
090109,3.039NM,2.997NM,2.901NM,3.073NM,3.071NM,3.155NM,3.163NM,3.13NM,0NM,0NM,
090129,2.989NM,3.041NM,2.873NM,2.997NM,3.012NM,3.153NM,3.209NM,3.121NM,0NM,0NM,
090147,3.025NM,3.056NM,2.91NM,3.048NM,3.004NM,3.125NM,3.163NM,3.109NM,0NM,0NM,
090227,2.999NM,2.995NM,2.929NM,3.033NM,2.991NM,3.159NM,3.119NM,3.142NM,0NM,0NM,
090304,3.035NM,2.962NM,2.875NM,2.962NM,3.064NM,3.129NM,3.136NM,3.119NM,0NM,0NM,
090324,3.02NM,3.02NM,2.951NM,3.02NM,3.01NM,3.134NM,3.069NM,3.138NM,0NM,0NM,
090342,2.981NM,3.012NM,2.875NM,3.031NM,3.035NM,3.13NM,3.125NM,3.111NM,0NM,0NM,
090358,3.041NM,3.016NM,2.91NM,2.995NM,3.023NM,3.151NM,3.069NM,3.142NM,0NM,0NM,
090435,3.006NM,3.062NM,2.97NM,2.995NM,2.974NM,3.086NM,3.14NM,3.132NM,0NM,0NM,
090454,3.004NM,3.004NM,2.894NM,3.041NM,3.058NM,3.161NM,3.115NM,3.117NM,0NM,0NM,
090516,3.021NM,3.023NM,2.944NM,3.006NM,3.02NM,3.142NM,3.113NM,3.107NM,0NM,0NM,
090548,3.029NM,2.995NM,2.953NM,3.054NM,3.01NM,3.148NM,3.111NM,3.107NM,0NM,0NM,
090621,3.037NM,3.025NM,2.932NM,2.999NM,3.033NM,3.1NM,3.064NM,3.142NM,0NM,0NM,
090641,3.023NM,3.023NM,2.89NM,3.018NM,3.062NM,3.171NM,3.169NM,3.142NM,0NM,0NM,
090700,3.06NM,2.985NM,2.944NM,3.025NM,3.094NM,3.207NM,3.077NM,3.107NM,0NM,0NM,
090725,3.069NM,3.062NM,0NM,3.025NM,3.014NM,3.146NM,3.144NM,3.125NM,0NM,0NM,
090756,3.054NM,3.01NM,2.948NM,3.002NM,3.044NM,3.123NM,3.115NM,3.15NM,0NM,0NM,
090840,0.002NM,2.978NM,3NM,2.989NM,3.002NM,3.207NM,3.142NM,3.129NM,0NM,0NM,
090859,3.062NM,3.027NM,2.897NM,3.041NM,3.062NM,3.159NM,3.115NM,3.134NM,0NM,0NM,
090928,3.086NM,2.987NM,2.937NM,3.014NM,3.01NM,3.132NM,3.092NM,3.13NM,0NM,0NM,
090955,0.002NM,3.05NM,2.929NM,2.985NM,2.968NM,3.09NM,3.155NM,3.157NM,0NM,0NM,
091014,3.033NM,2.995NM,2.894NM,3.008NM,3.012NM,3.155NM,3.132NM,3.104NM,0NM,0NM,
091037,3.054NM,3.006NM,2.873NM,3.046NM,3.029NM,3.096NM,3.157NM,3.111NM,0NM,0NM,
091208,3.056NM,3.052NM,2.941NM,2.981NM,3.046NM,3.136NM,3.1NM,3.1NM,0NM,0NM,
091236,3.043NM,2.978NM,2.871NM,2.978NM,2.974NM,3.127NM,3.094NM,3.155NM,0NM,0NM,
091309,3.029NM,3.035NM,2.88NM,3.054NM,3.031NM,3.14NM,3.165NM,3.125NM,0NM,0NM,
091329,3.004NM,3.031NM,2.927NM,3.002NM,3.023NM,3.127NM,3.079NM,3.123NM,0NM,0NM,
091412,0.001NM,3.054NM,2.899NM,3.031NM,3.025NM,3.073NM,3.129NM,3.157NM,0NM,0NM,
091432,2.999NM,2.999NM,2.958NM,3.029NM,3.01NM,3.171NM,3.18NM,3.146NM,0NM,0NM,
091450,3.048NM,3.002NM,2.956NM,3.014NM,3.065NM,3.142NM,3.096NM,3.148NM,0NM,0NM,
091508,3.037NM,3.004NM,2.889NM,3.037NM,3.014NM,3.113NM,3.134NM,3.138NM,0NM,0NM,
091534,3.012NM,3.025NM,2.873NM,2.978NM,3.02NM,3.169NM,3.146NM,3.167NM,0NM,0NM,
091554,3.048NM,2.979NM,2.941NM,2.976NM,2.995NM,3.153NM,3.136NM,3.153NM,0NM,0NM,
091613,3.021NM,3.041NM,2.946NM,3.029NM,3.054NM,3.186NM,3.115NM,3.134NM,0NM,0NM,
091630,3.02NM,2.997NM,2.892NM,2.981NM,2.983NM,3.092NM,3.104NM,3.129NM,0NM,0NM,
091647,3.027NM,2.974NM,2.951NM,2.958NM,3.081NM,3.1NM,3.104NM,3.148NM,0NM,0NM,
091727,3.002NM,3.048NM,2.875NM,3.052NM,2.979NM,3.151NM,3.188NM,3.119NM,0NM,0NM,
092339,3.044NM,3.016NM,2.916NM,2.981NM,3.021NM,3.13NM,3.142NM,3.127NM,0NM,0NM,
092404,3.046NM,3.048NM,2.923NM,3.035NM,3.062NM,3.157NM,3.13NM,3.136NM,0NM,0NM,
092443,3.021NM,3NM,2.91NM,3.029NM,3.027NM,3.153NM,3.094NM,0NM,0NM,0NM,
135029,3.008NM,3.021NM,2.894NM,2.999NM,2.978NM,3.088NM,3.129NM,3.14NM,0NM,0NM,
135045,3.031NM,2.983NM,2.91NM,3.039NM,2.989NM,3.167NM,3.201NM,3.102NM,0NM,0NM,
135127,3.048NM,3.008NM,2.927NM,3.014NM,3.006NM,3.119NM,3.096NM,3.127NM,0NM,0NM,
135146,3.006NM,2.999NM,2.923NM,2.972NM,3.05NM,3.138NM,3.102NM,3.136NM,0NM,0NM,
135230,3.025NM,2.987NM,2.95NM,2.968NM,3.041NM,3.209NM,3.123NM,3.153NM,0NM,0NM,
135251,3.023NM,3.002NM,2.861NM,3.029NM,3.029NM,3.092NM,3.142NM,3.127NM,0NM,0NM,
135311,3.054NM,3.044NM,2.913NM,3.008NM,3.046NM,3.129NM,3.18NM,3.127NM,0NM,0NM,
135342,3.085NM,3.062NM,2.91NM,2.976NM,3.086NM,0NM,3.125NM,3.113NM,0NM,0NM,
