時間,軸1,軸2,軸3,軸4,軸5,軸6,軸7,軸8,軸9,軸10
084116,3.048NM,3.023NM,2.955NM,3.023NM,3.071NM,3.088NM,3.209NM,3.121NM,0NM,0NM,
084140,3.064NM,3.062NM,2.904NM,3.025NM,3.039NM,3.182NM,3.123NM,3.125NM,0NM,0NM,
084203,3.027NM,2.993NM,2.899NM,3.025NM,3.062NM,3.109NM,3.14NM,3.129NM,0NM,0NM,
084227,3.025NM,3.073NM,2.979NM,3.025NM,3.056NM,3.161NM,3.184NM,3.188NM,0NM,0NM,
084555,3.014NM,3.02NM,2.967NM,3.043NM,3.065NM,3.14NM,3.127NM,3.115NM,0NM,0NM,
084958,3.048NM,3.041NM,3.012NM,3.027NM,3.021NM,3.188NM,3.134NM,3.186NM,0NM,0NM,
085025,3.035NM,3.031NM,2.932NM,3.031NM,2.989NM,3.136NM,3.188NM,3.123NM,0NM,0NM,
085047,3.035NM,3.027NM,2.955NM,3.014NM,3.039NM,3.117NM,3.123NM,3.119NM,0NM,0NM,
085121,3.044NM,3.044NM,2.956NM,3.058NM,3.025NM,3.134NM,3.182NM,3.144NM,0NM,0NM,
085211,0NM,3.025NM,2.897NM,3.043NM,3.05NM,3.109NM,3.169NM,3.142NM,0NM,0NM,
085300,3.02NM,3.029NM,2.908NM,3.025NM,3.033NM,3.19NM,3.184NM,3.151NM,0NM,0NM,
085330,3.016NM,3.029NM,2.908NM,2.991NM,3.033NM,3.197NM,3.125NM,3.129NM,0NM,0NM,
085732,3.012NM,3.037NM,2.958NM,3.088NM,3.033NM,3.195NM,3.194NM,3.151NM,0NM,0NM,
164141,3.071NM,3.127NM,2.903NM,3.104NM,3.048NM,3.138NM,3.178NM,3.192NM,0NM,0NM,
171109,3.058NM,3.104NM,2.889NM,3.06NM,3.115NM,3.146NM,3.165NM,3.19NM,0NM,0NM,
171203,3.081NM,3.06NM,2.948NM,3.086NM,3.085NM,3.192NM,3.174NM,3.192NM,0NM,0NM,
171228,3.077NM,3.081NM,2.929NM,3.104NM,3.06NM,3.22NM,3.249NM,3.182NM,0NM,0NM,
171249,3.064NM,3.073NM,2.941NM,3.109NM,3.102NM,3.194NM,3.215NM,3.199NM,0NM,0NM,
171318,3.123NM,3.083NM,2.91NM,3.092NM,3.058NM,3.194NM,3.253NM,3.184NM,0NM,0NM,
171352,3.096NM,3.094NM,2.951NM,3.088NM,3.083NM,3.211NM,3.224NM,3.19NM,0NM,0NM,
171549,3.062NM,3.081NM,2.904NM,3.067NM,3.096NM,3.199NM,3.18NM,3.211NM,0NM,0NM,
171617,3.109NM,3.098NM,2.937NM,3.05NM,3.056NM,3.192NM,3.195NM,3.197NM,0NM,0NM,
171645,3.086NM,3.125NM,2.958NM,3.06NM,3.107NM,3.237NM,3.239NM,3.136NM,0NM,0NM,
171707,3.086NM,3.081NM,2.916NM,3.123NM,3.081NM,3.209NM,3.146NM,3.144NM,0NM,0NM,
171733,3.106NM,3.094NM,2.908NM,3.064NM,3.052NM,3.211NM,3.192NM,3.207NM,0NM,0NM,
171822,3.083NM,3.081NM,2.981NM,3.064NM,3.086NM,3.216NM,3.155NM,3.199NM,0NM,0NM,
171856,3.096NM,3.044NM,2.939NM,3.062NM,3.098NM,3.125NM,3.182NM,3.218NM,0NM,0NM,
172021,3.096NM,3.081NM,2.889NM,3.107NM,3.111NM,3.107NM,3.201NM,3.199NM,0NM,0NM,
172040,3.121NM,3.094NM,2.937NM,3.064NM,3.086NM,3.174NM,3.134NM,3.207NM,0NM,0NM,
172141,3.065NM,3.104NM,2.925NM,3.085NM,3.09NM,3.203NM,3.22NM,3.211NM,0NM,0NM,
172232,3.046NM,3.109NM,2.937NM,3.109NM,3.043NM,3.188NM,3.222NM,3.207NM,0NM,0NM,
172319,3.127NM,3.073NM,2.916NM,3.098NM,3.098NM,3.178NM,3.176NM,3.213NM,0NM,0NM,
172451,3.102NM,3.086NM,2.927NM,3.05NM,3.109NM,3.18NM,3.186NM,3.215NM,0NM,0NM,
172513,3.065NM,3.069NM,2.95NM,3.077NM,3.127NM,3.262NM,3.213NM,3.213NM,0NM,0NM,
172550,3.075NM,3.077NM,3NM,3.069NM,3.077NM,3.142NM,3.159NM,3.169NM,0NM,0NM,
172628,3.081NM,3.132NM,2.932NM,3.096NM,3.113NM,3.224NM,3.272NM,3.186NM,0NM,0NM,
172658,3.081NM,3.075NM,2.88NM,3.079NM,3.134NM,3.172NM,3.157NM,3.188NM,0NM,0NM,
173524,3.096NM,3.073NM,2.91NM,3.046NM,3.052NM,3.192NM,3.165NM,3.178NM,0NM,0NM,
174208,3.098NM,3.096NM,2.916NM,3.09NM,3.079NM,3.268NM,3.153NM,3.203NM,0NM,0NM,
174630,3.104NM,3.081NM,2.953NM,3.071NM,3.104NM,3.274NM,3.243NM,3.153NM,0NM,0NM,
174650,3.119NM,3.083NM,2.927NM,3.075NM,3.117NM,3.169NM,3.172NM,3.171NM,0NM,0NM,
174853,3.106NM,3.083NM,2.967NM,3.102NM,3.107NM,3.253NM,3.195NM,3.184NM,0NM,0NM,
174915,3.14NM,3.086NM,2.969NM,3.075NM,3.129NM,3.23NM,3.171NM,3.159NM,0NM,0NM,
174938,3.125NM,3.121NM,2.918NM,3.09NM,3.098NM,3.224NM,3.19NM,3.188NM,0NM,0NM,
175013,3.062NM,3.117NM,2.948NM,3.098NM,3.098NM,3.199NM,3.186NM,3.144NM,0NM,0NM,
175135,3.125NM,3.077NM,2.916NM,3.048NM,3.069NM,3.161NM,3.239NM,3.188NM,0NM,0NM,
175616,3.119NM,3.106NM,2.953NM,3.071NM,3.079NM,3.159NM,3.176NM,3.197NM,0NM,0NM,
175821,3.09NM,3.104NM,2.943NM,3.052NM,3.06NM,3.157NM,3.207NM,3.19NM,0NM,0NM,
175856,3.067NM,3.125NM,0NM,3.075NM,3.111NM,3.194NM,3.195NM,3.209NM,0NM,0NM,
182047,3.085NM,3.117NM,2.97NM,3.096NM,3.083NM,3.241NM,3.182NM,3.176NM,0NM,0NM,
182124,3.144NM,3.062NM,2.965NM,3.111NM,3.075NM,3.245NM,3.144NM,3.186NM,0NM,0NM,
182408,3.098NM,3.102NM,2.918NM,3.062NM,3.033NM,3.213NM,3.188NM,3.174NM,0NM,0NM,
182440,3.088NM,3.062NM,2.986NM,3.088NM,3.1NM,3.236NM,3.222NM,3.151NM,0NM,0NM,
182530,3.123NM,3.104NM,2.923NM,3.132NM,3.106NM,3.215NM,3.171NM,3.165NM,0NM,0NM,
182606,3.081NM,3.069NM,2.958NM,3.044NM,3.132NM,3.245NM,3.194NM,3.18NM,0NM,0NM,
182728,3.107NM,3.073NM,2.916NM,3.092NM,3.102NM,3.207NM,3.203NM,3.186NM,0NM,0NM,
182757,3.073NM,3.086NM,2.951NM,3.064NM,3.086NM,3.241NM,3.19NM,3.169NM,0NM,0NM,
182859,3.121NM,3.056NM,2.908NM,3.085NM,3.106NM,3.182NM,3.174NM,3.192NM,0NM,0NM,
182935,3.113NM,3.079NM,2.897NM,3.094NM,3.107NM,3.171NM,3.195NM,3.184NM,0NM,0NM,
183019,3.119NM,3.067NM,2.889NM,3.111NM,3.094NM,3.211NM,3.192NM,3.184NM,0NM,0NM,
183121,3.086NM,3.104NM,2.911NM,3.106NM,3.14NM,3.155NM,3.207NM,3.174NM,0NM,0NM,
183914,3.085NM,3.123NM,2.943NM,3.062NM,3.027NM,3.224NM,3.195NM,3.163NM,0NM,0NM,
183941,3.107NM,3.115NM,2.932NM,3.092NM,3.098NM,3.172NM,3.188NM,3.194NM,0NM,0NM,
184039,3.14NM,3.077NM,2.911NM,3.075NM,3.102NM,3.161NM,3.174NM,3.142NM,0NM,0NM,
184112,3.106NM,3.069NM,2.908NM,3.077NM,3.098NM,3.155NM,3.165NM,3.18NM,0NM,0NM,
184133,3.134NM,3.096NM,2.923NM,3.115NM,3.046NM,3.215NM,3.192NM,3.151NM,0NM,0NM,
184314,0NM,3.077NM,2.925NM,3.062NM,3.092NM,3.194NM,3.257NM,3.203NM,0NM,0NM,
184452,0NM,3.073NM,2.955NM,3.058NM,3.079NM,3.157NM,3.203NM,3.182NM,0NM,0NM,
184605,0NM,3.079NM,2.91NM,3.102NM,3.117NM,3.245NM,3.192NM,3.18NM,0NM,0NM,
185244,0NM,3.067NM,2.89NM,3.106NM,3.09NM,3.178NM,3.205NM,3.171NM,0NM,0NM,
185821,3.075NM,3.073NM,2.932NM,3.109NM,0NM,3.163NM,3.169NM,3.207NM,0NM,0NM,
190145,3.136NM,3.071NM,2.918NM,3.075NM,3.096NM,3.165NM,3.165NM,3.163NM,0NM,0NM,
190220,3.071NM,3.094NM,2.963NM,3.054NM,3.104NM,3.104NM,3.165NM,3.194NM,0NM,0NM,
190259,3.09NM,3.046NM,2.958NM,3.062NM,3.064NM,3.22NM,3.146NM,3.215NM,0NM,0NM,
190330,3.052NM,3.09NM,0NM,3.069NM,3.1NM,3.186NM,3.153NM,3.188NM,0NM,0NM,
190453,3.117NM,3.085NM,2.936NM,3.107NM,3.069NM,3.226NM,3.18NM,3.19NM,0NM,0NM,
190623,3.111NM,3.065NM,2.979NM,3.065NM,3.081NM,3.184NM,3.203NM,3.172NM,0NM,0NM,
190646,3.079NM,3.069NM,2.922NM,3.106NM,3.085NM,3.257NM,3.195NM,3.188NM,0NM,0NM,
190725,3.075NM,3.163NM,2.915NM,3.058NM,3.109NM,3.169NM,3.19NM,3.151NM,0NM,0NM,
190802,3.088NM,3.056NM,2.915NM,3.079NM,3.109NM,3.239NM,3.213NM,3.18NM,0NM,0NM,
190823,3.117NM,3.058NM,2.908NM,3.056NM,3.085NM,3.142NM,3.15NM,3.184NM,0NM,0NM,
191125,3.069NM,3.069NM,2.892NM,3.151NM,3.058NM,3.19NM,3.234NM,3.15NM,0NM,0NM,
191152,0.002NM,3.067NM,2.939NM,3.079NM,3.077NM,3.213NM,3.222NM,3.172NM,0NM,0NM,
191223,3.117NM,3.046NM,2.943NM,3.041NM,3.088NM,3.111NM,3.207NM,3.167NM,0NM,0NM,
191259,3.075NM,3.065NM,2.908NM,0NM,3.085NM,3.184NM,3.232NM,3.148NM,0NM,0NM,
191401,3.098NM,3.064NM,2.981NM,3.088NM,3.081NM,3.232NM,3.266NM,3.15NM,0NM,0NM,
191529,3.073NM,3.073NM,2.908NM,3.071NM,3.109NM,3.209NM,3.203NM,3.165NM,0NM,0NM,
191622,3.094NM,3.048NM,2.927NM,3.048NM,3.044NM,3.13NM,3.172NM,3.153NM,0NM,0NM,
191646,3.125NM,3.069NM,2.923NM,3.1NM,3.109NM,3.236NM,3.18NM,3.211NM,0NM,0NM,
191743,3.102NM,3.071NM,2.936NM,3.075NM,3.083NM,3.222NM,3.197NM,3.201NM,0NM,0NM,
191809,3.086NM,3.111NM,2.97NM,3.102NM,3.071NM,3.178NM,3.216NM,3.182NM,0NM,0NM,
191844,3.085NM,3.094NM,2.885NM,3.008NM,3.073NM,3.153NM,3.165NM,3.172NM,0NM,0NM,
192021,3.123NM,3.123NM,2.932NM,3.064NM,3.077NM,3.155NM,3.178NM,3.19NM,0NM,0NM,
192058,3.119NM,3.102NM,3.005NM,3.065NM,3.14NM,3.205NM,3.232NM,3.176NM,0NM,0NM,
192145,3.119NM,3.052NM,2.918NM,3.021NM,3.117NM,3.236NM,3.195NM,3.188NM,0NM,0NM,
192223,3.111NM,3.1NM,2.993NM,3.064NM,3.117NM,3.209NM,3.239NM,3.174NM,0NM,0NM,
192314,3.092NM,3.09NM,2.923NM,3.088NM,3.037NM,3.148NM,3.125NM,3.207NM,0NM,0NM,
192402,3.085NM,3.056NM,2.958NM,3.092NM,3.102NM,3.226NM,3.19NM,3.201NM,0NM,0NM,
192455,3.071NM,3.048NM,2.923NM,3.094NM,3.119NM,3.186NM,3.15NM,3.15NM,0NM,0NM,
192528,3.071NM,3.083NM,2.904NM,3.081NM,3.054NM,3.222NM,3.236NM,3.186NM,0NM,0NM,
192703,3.1NM,3.062NM,2.92NM,3.086NM,3.098NM,3.226NM,3.255NM,3.211NM,0NM,0NM,
